Ch1(mA), Ch2(mA), Ch3(mA), Ch4(mA), Ch5(mA), Ch6(mA), Ch7(mA), Ch8(mA), Ch9(mA), Ch10(mA), Ch11(mA), Ch12(mA), Ch13(mA), Ch14(mA), Ch15(mA), Ch16(mA), Channel state, On time, Off time, Pulse number, Pattern, Time, Probeflag
0.0782, 0.1564, 0.1222, 0.1271, 0, 0.259, 0.09775, 0.1369, 0.2102, 0.567, 0.05376, 0.5034, 0.1613, 0.1564, 0.391, 0.06843, 1111111111111111, 50, 70, 71, 1/785, 8.478921175003052, False
0.08309, 0.1515, 0.1271, 0.1271, 0, 0.2639, 0.09775, 0.1369, 0.2151, 0.5718, 0.05865, 0.5083, 0.1662, 0.1613, 0.3959, 0.06843, 1111111111111111, 50, 70, 72, 1/785, 8.598907470703125, False
0.08309, 0.1564, 0.1271, 0.132, 0, 0.2639, 0.09775, 0.1417, 0.2199, 0.5718, 0.05865, 0.5132, 0.1711, 0.1662, 0.4008, 0.07331, 1111111111111111, 50, 70, 73, 1/785, 8.719938516616821, False
0.0782, 0.1613, 0.1271, 0.132, 0, 0.2688, 0.1026, 0.1417, 0.2199, 0.5767, 0.05865, 0.5181, 0.1711, 0.1662, 0.4057, 0.07331, 1111111111111111, 50, 70, 74, 1/785, 8.83903694152832, False
0.08309, 0.1613, 0.1271, 0.1369, 0, 0.2688, 0.1075, 0.1417, 0.2248, 0.5865, 0.06354, 0.523, 0.176, 0.1662, 0.4106, 0.07331, 1111111111111111, 50, 70, 75, 1/785, 8.960083484649658, False
0.08309, 0.1613, 0.132, 0.1369, 0, 0.2737, 0.1075, 0.1466, 0.2248, 0.5865, 0.06354, 0.5279, 0.176, 0.1711, 0.4106, 0.07331, 1111111111111111, 50, 70, 76, 1/785, 9.080483675003052, False
0.08798, 0.1662, 0.1369, 0.1369, 0, 0.2786, 0.1075, 0.1466, 0.2297, 0.5914, 0.05865, 0.5376, 0.176, 0.1711, 0.4154, 0.07331, 1111111111111111, 50, 70, 77, 1/785, 9.199471473693848, False
0.08798, 0.1662, 0.1369, 0.1369, 0, 0.2835, 0.1075, 0.1515, 0.2297, 0.5963, 0.06354, 0.5425, 0.1808, 0.176, 0.4203, 0.0782, 1111111111111111, 50, 70, 78, 1/785, 9.321255922317505, False
0.08798, 0.1711, 0.1369, 0.1417, 0, 0.2884, 0.1124, 0.1515, 0.2346, 0.6012, 0.06354, 0.5425, 0.1808, 0.176, 0.4252, 0.0782, 1111111111111111, 50, 70, 79, 1/785, 9.441253900527954, False
0.08798, 0.1711, 0.1369, 0.1417, 0, 0.2884, 0.1075, 0.1564, 0.2395, 0.6061, 0.06354, 0.5523, 0.1857, 0.1808, 0.4301, 0.0782, 1111111111111111, 50, 70, 80, 1/785, 9.558994770050049, False
0.08798, 0.1808, 0.1417, 0.1515, 0, 0.2933, 0.1124, 0.1564, 0.2395, 0.6109, 0.06843, 0.5523, 0.1857, 0.1808, 0.435, 0.0782, 1111111111111111, 50, 70, 81, 1/785, 9.68175482749939, False
0.08798, 0.176, 0.1417, 0.1466, 0, 0.2933, 0.1173, 0.1564, 0.2444, 0.6158, 0.06843, 0.5572, 0.1906, 0.1808, 0.4399, 0.08309, 1111111111111111, 50, 70, 82, 1/785, 9.801687002182007, False
0.09286, 0.1808, 0.1417, 0.1515, 0, 0.2981, 0.1173, 0.1613, 0.2493, 0.6207, 0.06843, 0.5621, 0.1906, 0.1906, 0.4448, 0.08309, 1111111111111111, 50, 70, 83, 1/785, 9.92205262184143, False
